Terytorium;Przystąpiło/zdało ;Płeć ;Rok;Liczba osób
Wielkopolskie;przystąpiło;kobiety;2012;16844
Wielkopolskie;przystąpiło;mężczyźni;2013;11963
Wielkopolskie;przystąpiło;kobiety;2013;15769
Wielkopolskie;przystąpiło;mężczyźni;2014;11132
Wielkopolskie;przystąpiło;kobiety;2014;14789
Wielkopolskie;przystąpiło;mężczyźni;2015;10760
Wielkopolskie;przystąpiło;kobiety;2015;13823
Wielkopolskie;przystąpiło;mężczyźni;2016;10123
Wielkopolskie;przystąpiło;kobiety;2016;13093
Wielkopolskie;przystąpiło;mężczyźni;2017;10113
Wielkopolskie;przystąpiło;kobiety;2017;13015
Wielkopolskie;przystąpiło;mężczyźni;2018;9824
Wielkopolskie;przystąpiło;kobiety;2018;12386
Wielkopolskie;zdało;mężczyźni;2010;11337
Wielkopolskie;zdało;kobiety;2010;15243
Wielkopolskie;zdało;mężczyźni;2011;9838
Wielkopolskie;zdało;kobiety;2011;13245
Wielkopolskie;zdało;mężczyźni;2012;10317
Wielkopolskie;zdało;kobiety;2012;13534
Wielkopolskie;zdało;mężczyźni;2013;9524
Wielkopolskie;zdało;kobiety;2013;12803
Wielkopolskie;zdało;mężczyźni;2014;7765
Wielkopolskie;zdało;kobiety;2014;10340
Wielkopolskie;zdało;mężczyźni;2015;7821
Wielkopolskie;zdało;kobiety;2015;10006
Wielkopolskie;zdało;mężczyźni;2016;7964
Wielkopolskie;zdało;kobiety;2016;10246
Wielkopolskie;zdało;mężczyźni;2017;7929
Wielkopolskie;zdało;kobiety;2017;10110
Wielkopolskie;zdało;mężczyźni;2018;7648
Wielkopolskie;zdało;kobiety;2018;9973
Zachodniopomorskie;przystąpiło;mężczyźni;2010;6235
Zachodniopomorskie;przystąpiło;kobiety;2010;8349
Zachodniopomorskie;przystąpiło;mężczyźni;2011;5604
Zachodniopomorskie;przystąpiło;kobiety;2011;7642
Zachodniopomorskie;przystąpiło;mężczyźni;2012;5558
Zachodniopomorskie;przystąpiło;kobiety;2012;7143
Zachodniopomorskie;przystąpiło;mężczyźni;2013;5468
Zachodniopomorskie;przystąpiło;kobiety;2013;6939
Zachodniopomorskie;przystąpiło;mężczyźni;2014;5125
Zachodniopomorskie;przystąpiło;kobiety;2014;6594
Zachodniopomorskie;przystąpiło;mężczyźni;2015;4720
Zachodniopomorskie;przystąpiło;kobiety;2015;5924
Zachodniopomorskie;przystąpiło;mężczyźni;2016;4368
Zachodniopomorskie;przystąpiło;kobiety;2016;5488
Zachodniopomorskie;przystąpiło;mężczyźni;2017;4445
Zachodniopomorskie;przystąpiło;kobiety;2017;5301
Zachodniopomorskie;przystąpiło;mężczyźni;2018;4172
Zachodniopomorskie;przystąpiło;kobiety;2018;5215
Zachodniopomorskie;zdało;mężczyźni;2010;5055
Zachodniopomorskie;zdało;kobiety;2010;6624
Zachodniopomorskie;zdało;mężczyźni;2011;4129
Zachodniopomorskie;zdało;kobiety;2011;5573
Zachodniopomorskie;zdało;mężczyźni;2012;4342
Zachodniopomorskie;zdało;kobiety;2012;5573
Zachodniopomorskie;zdało;mężczyźni;2013;4323
Zachodniopomorskie;zdało;kobiety;2013;5507
Zachodniopomorskie;zdało;mężczyźni;2014;3499
Zachodniopomorskie;zdało;kobiety;2014;4327
Zachodniopomorskie;zdało;mężczyźni;2015;3386
Zachodniopomorskie;zdało;kobiety;2015;4081
Zachodniopomorskie;zdało;mężczyźni;2016;3375
Zachodniopomorskie;zdało;kobiety;2016;4144
Zachodniopomorskie;zdało;mężczyźni;2017;3357
Zachodniopomorskie;zdało;kobiety;2017;3875
Zachodniopomorskie;zdało;mężczyźni;2018;3247
Zachodniopomorskie;zdało;kobiety;2018;3964
